Rank	Gene	ID	Score	HaploinsufficiencyScore	GeneIntoleranceScore
1	NEDD4	4734	1	0.272	0.2829087049
2	FOXL2	668	0.9798	0.137	0
3	MIF	4282	0.9696	0.166	0
4	TAGLN	6876	0.9696	0.587	0.4834276952
5	COL3A1	1281	0.9696	0.997	0.6365888181
6	EIF5A	1984	0.9687	0	0.5061335221
7	ACTRT2	140625	0.9687	0.041	0.2053550366
8	SERPINB5	5268	0.9687	0.080	0.2284147205
9	C19ORF10	56005	0.9687	0.090	0.5712432177
10	HBD	100187828	0.9687	0	0.2096013211
11	RAN	5901	0.9687	0	0.5221160651
12	COL5A1	1289	0.9687	0.627	0.99475112055
13	PFN1	5216	0.9687	0.855	0.5221160651
14	FGG	2266	0.9687	0.335	0.4808327436
15	S100A4	6275	0.9687	0.237	0.6032083038
16	SFN	2810	0.9687	0.533	0.6313989148
17	TPSB2	64499	0.9687	0	0
18	CAPG	822	0.9687	0.121	0.1979830149
19	TPM1	7168	0.9687	0.827	0.7485255957
20	CLIC1	1192	0.9687	0.460	0.5712432177
21	MYL6B	140465	0.9687	0.094	0.6854210899
22	CRABP1	1381	0.9687	0.402	0.5875206417
23	LGALS1	3956	0.9687	0.599	0.4859636707
24	S100A10	6281	0.9687	0.513	0.372611465
25	COL1A1	1277	0.9687	0.992	0.9774121255
26	FTH1	2495	0.9687	0	0.387237556
27	PRDX2	7001	0.9687	0.920	0.7376739797
28	S100A9	6280	0.9687	0.399	0.387237556
29	FTL	2512	0.9687	0.078	0.5875206417
30	TKCR	7085	0.9687	0	0
31	S100A8	6279	0.9687	0.230	0.437485256
32	ASPN	54829	0.9687	0.718	0
33	SERPINF1	5176	0.9687	0.404	0.8181174805
34	ARHGDIA	396	0.9687	0.091	0.6457891012
35	PRDX1	5052	0.9687	0.806	0.6457891012
36	FBF1	85302	0.9687	0.085	0.8516159472
37	HYAL1	3373	0.01922	0.091	0.3799834867
38	DUSP10	11221	0.01922	0.687	0.7749469214
39	TP53	7157	0.01922	1.000	0.6401273885
40	C3ORF72	401089	0.01922	0	0.1518636471
