Rank	Gene	ID	Score
1	COL7A1	1294	1
2	ATP7A	538	0.9817
3	CNGA1	1259	0.9272
4	COL5A1	1289	0.8768
5	RBP3	5949	0.8695
6	LRAT	9227	0.8695
7	PDE6G	5148	0.8695
8	CNGB1	1258	0.8515
9	COL5A2	1290	0.8515
10	CA4	762	0.8515
11	IMPDH1	3614	0.8515
12	NR2E3	10002	0.8515
13	MERTK	10461	0.8515
14	NEK2	4751	0.8515
15	PLOD1	5351	0.8515
16	BCS1L	617	0.8443
17	ADAMTS2	9509	0.8191
18	ROM1	6094	0.8119
19	CLRN1	7401	0.8119
20	CRX	1406	0.8119
21	C8ORF37	157657	0.8119
22	ARL6	84100	0.8119
23	PDE6A	5145	0.7939
24	RPE65	6121	0.7939
25	RLBP1	6017	0.7939
26	PRPF6	24148	0.7939
27	BEST1	7439	0.7939
28	CYP26C1	340665	0.7939
29	SAG	6295	0.7939
30	SEMA4A	64218	0.7939
31	MAK	4117	0.7939
32	SNRNP200	23020	0.7939
33	PRPF8	10594	0.7939
34	RGR	5995	0.7939
35	RDH12	145226	0.7939
36	DHDDS	79947	0.7939
37	GUCA1B	2979	0.7939
38	OFD1	8481	0.7939
39	IDH3B	3420	0.7939
40	PDE6B	5158	0.7939
41	RHO	6010	0.7939
42	ABCA4	24	0.7939
43	ATP7B	540	0.7506
44	CDHR1	92211	0.7363
45	EYS	346007	0.7363
46	RP1	6101	0.7363
47	IMPG2	50939	0.7363
48	FSCN2	25794	0.7363
49	CERKL	375298	0.7363
50	FAM161A	84140	0.7363
51	RPGR	6103	0.7363
52	PRPH2	5961	0.7363
53	TULP1	7287	0.7363
54	USH2A	7399	0.7363
55	ZNF513	130557	0.7363
56	NRL	4901	0.7363
57	PRPF31	26121	0.7363
58	TTC8	123016	0.7363
59	PRCD	768206	0.7363
60	RP2	6102	0.7363
61	CRB1	23418	0.7363
62	ARL2BP	23568	0.7363
63	RP9	6100	0.7363
64	SPATA7	55812	0.7363
65	KLHL7	55975	0.7363
66	PROM1	8842	0.7363
67	ECM1	1893	0.7363
68	TOPORS	10210	0.7363
69	PRPF3	9129	0.7363
70	TGFBR2	7048	0.7283
71	TGFBR1	7046	0.7283
72	IKBKG	8517	0.7228
73	TFAP2A	7020	0.7196
74	TFR2	7036	0.711
75	SH3BP2	6452	0.7017
76	B4GALT7	11285	0.6543
77	TERT	7015	0.6503
78	B3GALT6	126792	0.6403
79	TERC	7012	0.6315
80	AGPAT2	10555	0.6249
81	BSCL2	26580	0.6201
82	HFE	3077	0.6201
