Gene Symbol,Description,Category,Gifts,GC Id,Relevance score, GeneCards Link
"COL7A1","Collagen Type VII Alpha 1 Chain","Protein Coding","43","GC03M048564","23.7424373626709","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COL7A1"
"BRK1","BRICK1 Subunit Of SCAR/WAVE Actin Nucleating Complex","Protein Coding","35","GC03P010115","18.6616058349609","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BRK1"
"KRT14","Keratin 14","Protein Coding","45","GC17M041582","15.7278804779053","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KRT14"
"COL5A1","Collagen Type V Alpha 1 Chain","Protein Coding","44","GC09P134641","15.5352334976196","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COL5A1"
"KLHL24","Kelch Like Family Member 24","Protein Coding","34","GC03P183635","14.9202709197998","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KLHL24"
"COL1A1","Collagen Type I Alpha 1 Chain","Protein Coding","48","GC17M050183","14.8274507522583","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COL1A1"
"KRT5","Keratin 5","Protein Coding","45","GC12M052514","14.7693405151367","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KRT5"
"PLEC","Plectin","Protein Coding","41","GC08M144007","14.6772222518921","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLEC"
"ITGB4","Integrin Subunit Beta 4","Protein Coding","46","GC17P075721","13.788290977478","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ITGB4"
"COL1A2","Collagen Type I Alpha 2 Chain","Protein Coding","45","GC07P094394","13.7787265777588","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COL1A2"
"COL17A1","Collagen Type XVII Alpha 1 Chain","Protein Coding","43","GC10M104031","13.1949062347412","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COL17A1"
"TGFB1","Transforming Growth Factor Beta 1","Protein Coding","49","GC19M041301","12.929817199707","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TGFB1"
"MMP1","Matrix Metallopeptidase 1","Protein Coding","49","GC11M102810","12.5425062179565","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MMP1"
"LAMA3","Laminin Subunit Alpha 3","Protein Coding","43","GC18P023689","11.988338470459","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LAMA3"
"TGFBR1","Transforming Growth Factor Beta Receptor 1","Protein Coding","51","GC09P099104","11.7823524475098","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TGFBR1"
"AEBP1","AE Binding Protein 1","Protein Coding","39","GC07P044106","11.7353925704956","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AEBP1"
"COL5A2","Collagen Type V Alpha 2 Chain","Protein Coding","40","GC02M189031","11.4846162796021","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COL5A2"
"LAMC2","Laminin Subunit Gamma 2","Protein Coding","44","GC01P183186","11.3142118453979","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LAMC2"
"LAMB3","Laminin Subunit Beta 3","Protein Coding","44","GC01M209614","11.1872835159302","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LAMB3"
"ITGA6","Integrin Subunit Alpha 6","Protein Coding","47","GC02P172427","10.916654586792","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ITGA6"
"FLNA","Filamin A","Protein Coding","47","GC0XM154348","10.6630096435547","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FLNA"
"CHST14","Carbohydrate Sulfotransferase 14","Protein Coding","40","GC15P040470","10.6546306610107","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHST14"
"WASF1","WASP Family Member 1","Protein Coding","44","GC06M110099","10.4823055267334","https://www.genecards.org/cgi-bin/carddisp.pl?gene=WASF1"
"C1R","Complement C1r","Protein Coding","45","GC12M007404","9.98168277740479","https://www.genecards.org/cgi-bin/carddisp.pl?gene=C1R"
"C1S","Complement C1s","Protein Coding","44","GC12P015386","9.83879089355469","https://www.genecards.org/cgi-bin/carddisp.pl?gene=C1S"
"LOC101448202","Uncharacterized LOC101448202","RNA Gene","9","GC09M134819","9.836256980896","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC101448202"
"DSP","Desmoplakin","Protein Coding","48","GC06P007541","9.5957555770874","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DSP"
"SMAD3","SMAD Family Member 3","Protein Coding","47","GC15P067063","9.58446216583252","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMAD3"
"DST","Dystonin","Protein Coding","41","GC06M056457","9.49107837677002","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DST"
"FBN1","Fibrillin 1","Protein Coding","44","GC15M048408","9.48212337493896","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FBN1"
"TGFBR2","Transforming Growth Factor Beta Receptor 2","Protein Coding","48","GC03P030623","9.45411491394043","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TGFBR2"
"PLOD1","Procollagen-Lysine,2-Oxoglutarate 5-Dioxygenase 1","Protein Coding","40","GC01P011934","9.36302089691162","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLOD1"
"ALB","Albumin","Protein Coding","47","GC04P073397","9.33457279205322","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALB"
"HLA-DRB1","Major Histocompatibility Complex, Class II, DR Beta 1","Protein Coding","45","GC06M032578","9.0009822845459","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HLA-DRB1"
"GJB2","Gap Junction Protein Beta 2","Protein Coding","45","GC13M020187","8.75019645690918","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GJB2"
"HFE","Homeostatic Iron Regulator","Protein Coding","42","GC06P026087","8.43227386474609","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HFE"
"UROS","Uroporphyrinogen III Synthase","Protein Coding","40","GC10M125784","8.14041709899902","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UROS"
"CTNNB1","Catenin Beta 1","Protein Coding","51","GC03P041236","8.06043529510498","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTNNB1"
"TERT","Telomerase Reverse Transcriptase","Protein Coding","50","GC05M001253","8.01340103149414","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TERT"
"B4GALT7","Beta-1,4-Galactosyltransferase 7","Protein Coding","41","GC05P177600","7.97554206848145","https://www.genecards.org/cgi-bin/carddisp.pl?gene=B4GALT7"
"FKBP14","FKBP Prolyl Isomerase 14","Protein Coding","38","GC07M030010","7.92075395584106","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FKBP14"
"NCSTN","Nicastrin","Protein Coding","45","GC01P160343","7.84414672851563","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NCSTN"
"ZNF469","Zinc Finger Protein 469","Protein Coding","32","GC16P088382","7.82792711257935","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZNF469"
"TNXB","Tenascin XB","Protein Coding","42","GC06M054198","7.79738283157349","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNXB"
"GATA1","GATA Binding Protein 1","Protein Coding","45","GC0XP048786","7.65775680541992","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GATA1"
"UROD","Uroporphyrinogen Decarboxylase","Protein Coding","43","GC01P045132","7.46768379211426","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UROD"
"COL12A1","Collagen Type XII Alpha 1 Chain","Protein Coding","40","GC06M075084","7.42996215820313","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COL12A1"
"IKBKG","Inhibitor Of Nuclear Factor Kappa B Kinase Regulatory Subunit Gamma","Protein Coding","46","GC0XP154541","7.23342561721802","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IKBKG"
"VEGFA","Vascular Endothelial Growth Factor A","Protein Coding","46","GC06P043770","7.21401596069336","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VEGFA"
"SFTPA2","Surfactant Protein A2","Protein Coding","40","GC10M079677","7.14382982254028","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SFTPA2"
"FERMT1","FERM Domain Containing Kindlin 1","Protein Coding","41","GC20M006074","6.96073484420776","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FERMT1"
"COL3A1","Collagen Type III Alpha 1 Chain","Protein Coding","44","GC02P188974","6.93905973434448","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COL3A1"
"WASF3","WASP Family Member 3","Protein Coding","39","GC13P026557","6.93352556228638","https://www.genecards.org/cgi-bin/carddisp.pl?gene=WASF3"
"CCN2","Cellular Communication Network Factor 2","Protein Coding","37","GC06M131948","6.88887500762939","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCN2"
"WASF2","WASP Family Member 2","Protein Coding","41","GC01M027404","6.88030052185059","https://www.genecards.org/cgi-bin/carddisp.pl?gene=WASF2"
"DSE","Dermatan Sulfate Epimerase","Protein Coding","39","GC06P116255","6.83713531494141","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DSE"
