tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM	
9606	Homo sapiens	7157	0	live	TP53	BCC7, BMFS5, LFS1, P53, TRP53	tumor protein p53	cellular tumor antigen p53|antigen NY-CO-13|mutant tumor protein 53|p53 tumor suppressor|phosphoprotein p53|transformation-related protein 53|tumor protein 53|tumor supressor p53	17p13.1	17	NC_000017.11	7668421	7687490	minus	12	191170	
9606	Homo sapiens	7040	0	live	TGFB1	CED, DPD1, IBDIMDE, LAP, TGF-beta1, TGFB, TGFbeta	transforming growth factor beta 1	transforming growth factor beta-1 proprotein|TGF-beta-1|latency-associated peptide|prepro-transforming growth factor beta-1|transforming growth factor beta1	19q13.2	19	NC_000019.10	41330323	41353922	minus	7	190180	
9606	Homo sapiens	7124	0	live	TNF	DIF-alpha, TNFA, TNFSF2, TNLG1F, TNF	tumor necrosis factor	tumor necrosis factor|APC1 protein|TNF, macrophage-derived|TNF, monocyte-derived|TNF-a|tumor necrosis factor ligand 1F|tumor necrosis factor ligand superfamily member 2|tumor necrosis factor-alpha	6p21.33	6	NC_000006.12	31575565	31578336	plus	4	191160	
9606	Homo sapiens	3569	0	live	IL6	BSF-2, BSF2, CDF, HGF, HSF, IFN-beta-2, IFNB2, IL-6	interleukin 6	interleukin-6|B-cell differentiation factor|B-cell stimulatory factor 2|CTL differentiation factor|hybridoma growth factor|interferon beta-2|interleukin BSF-2	7p15.3	7	NC_000007.14	22725889	22732002	plus	6	147620	
9606	Homo sapiens	6774	0	live	STAT3	ADMIO, ADMIO1, APRF, HIES	signal transducer and activator of transcription 3	signal transducer and activator of transcription 3|DNA-binding protein APRF|acute-phase response factor	17q21.2	17	NC_000017.11	42313324	42388502	minus	24	102582	
9606	Homo sapiens	4318	0	live	MMP9	CLG4B, GELB, MANDP2, MMP-9	matrix metallopeptidase 9	matrix metalloproteinase-9|macrophage gelatinase|matrix metallopeptidase 9 (gelatinase B, 92kDa gelatinase, 92kDa type IV collagenase)|matrix metalloproteinase 9 (gelatinase B, 92kDa gelatinase, 92kDa type IV collagenase)|type V collagenase	20q13.12	20	NC_000020.11	46008908	46016561	plus	13	120361	
9606	Homo sapiens	207	0	live	AKT1	AKT, PKB, PKB-ALPHA, PRKBA, RAC, RAC-ALPHA	AKT serine/threonine kinase 1	RAC-alpha serine/threonine-protein kinase|AKT1m|PKB alpha|RAC-PK-alpha|protein kinase B alpha|proto-oncogene c-Akt|rac protein kinase alpha|serine-threonine protein kinase|v-akt murine thymoma viral oncogene homolog 1|v-akt murine thymoma viral oncogene-like protein 1	14q32.33	14	NC_000014.9	104769349	104795748	minus	15	164730	
9606	Homo sapiens	5728	0	live	PTEN	10q23del, BZS, CWS1, DEC, GLM2, MHAM, MMAC11, PTENbeta, TEP1, PTEN	phosphatase and tensin homolog	phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN|MMAC1 phosphatase and tensin homolog deleted on chromosome 10|PTEN variant PTEN-K267Rfs*9|PTEN variant PTEN-L247*|PTEN variant PTEN-R234Afs*11|PTENepsilon|mitochondrial PTENalpha|mitochondrial phosphatase and tensin protein alpha|mutated in multiple advanced cancers 1|phosphatase and tensin-like protein|phosphatidylinositol-3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN|protein tyrosine phosphatase	10q23.31	10	NC_000010.11	87863625	87971930	plus	10	601728	
9606	Homo sapiens	1499	0	live	CTNNB1	CTNNB, EVR7, MRD19, NEDSDV, armadillo	catenin beta 1	catenin beta-1|catenin (cadherin-associated protein), beta 1, 88kDa	3p22.1	3	NC_000003.12	41199422	41240445	plus	19	116806	
9606	Homo sapiens	7099	0	live	TLR4	ARMD10, CD284, TLR-4, TOLL	toll like receptor 4	toll-like receptor 4|hToll|homolog of Drosophila toll|toll like receptor 4 protein	9q33.1	9	NC_000009.12	117704403	117724735	plus	4	603030	
9606	Homo sapiens	5468	0	live	PPARG	CIMT1, GLM1, NR1C31, PPARG2, PPARG5, PPARgamma, PPARG	peroxisome proliferator activated receptor gamma	peroxisome proliferator-activated receptor gamma|PPAR-gamma|nuclear receptor subfamily 1 group C member 3|peroxisome proliferator-activated nuclear receptor gamma variant 1|peroxisome proliferator-activated receptor-gamma 5|peroxisome proliferator-activated receptor-gamma splicing	3p25.2	3	NC_000003.12	12287368	12434344	plus	14	601487	
9606	Homo sapiens	1026	0	live	CDKN1A	CAP20, CDKN1, CIP1, MDA-6, P21, SDI1, WAF1, p21CIP1	cyclin dependent kinase inhibitor 1A	cyclin-dependent kinase inhibitor 1|CDK-interacting protein 1|CDK-interaction protein 1|DNA synthesis inhibitor|cyclin-dependent kinase inhibitor 1A (p21, Cip1)|melanoma differentiation associated protein 6|wild-type p53-activated fragment 1	6p21.2	6	NC_000006.12	36676463	36687332	plus	6	116899	
9606	Homo sapiens	5290	0	live	PIK3CA	CCM4, CLAPO, CLOVE, CWS5, MCAP, MCM, MCMTC, PI3K, PI3K-alpha, p110-alpha	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha	phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform|PI3-kinase p110 subunit alpha|mutant phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha|phosphatidylinositol 3-kinase, catalytic, 110-KD, alpha|phosphatidylinositol 3-kinase, catalytic, alpha polypeptide|phosphatidylinositol-4,5-bisphosphate 3-kinase 110 kDa catalytic subunit alpha|phosphoinositide 3-kinase alpha|phosphoinositide-3-kinase, catalytic, alpha polypeptide|ptdIns-3-kinase subunit p110-alpha|serine/threonine protein kinase PIK3CA	3q26.32	3	NC_000003.12	179148114	179240093	plus	23	171834	
9606	Homo sapiens	3146	0	live	HMGB1	HMG-1, HMG1, HMG3, SBP-1	high mobility group box 1	high mobility group protein B1|Amphoterin|Sulfoglucuronyl carbohydrate binding protein|high-mobility group (nonhistone chromosomal) protein 1	13q12.3	13	NC_000013.11	30456704	30617597	minus	9	163905	
9606	Homo sapiens	3480	0	live	IGF1R	CD221, IGFIR, IGFR, JTK13	insulin like growth factor 1 receptor	insulin-like growth factor 1 receptor|IGF-I receptor|soluble IGF1R variant 1|soluble IGF1R variant 2	15q26.3	15	NC_000015.10	98648539	98964530	plus	26	147370	
9606	Homo sapiens	857	0	live	CAV1	BSCL3, CGL3, LCCNS, MSTP085, PPH3, VIP21	caveolin 1	caveolin-1|caveolin 1, caveolae protein, 22kDa|cell growth-inhibiting protein 32	7q31.2	7	NC_000007.14	116525009	116561185	plus	4	601047	
9606	Homo sapiens	6714	0	live	SRC	ASV1, THC6, c-SRC, p60-Src, SRC	SRC proto-oncogene, non-receptor tyrosine kinase	proto-oncogene tyrosine-protein kinase Src|proto-oncogene c-Src|protooncogene SRC, Rous sarcoma|tyrosine kinase pp60c-src|tyrosine-protein kinase SRC-1|v-src avian sarcoma (Schmidt-Ruppin A-2) viral oncogene homolog	20q11.23	20	NC_000020.11	37344690	37406050	plus	17	190090	
9606	Homo sapiens	5747	0	live	PTK2	FADK, FADK 1, FAK, FAK1, FRNK, PPP1R71, p125FAK, pp125FAK	protein tyrosine kinase 2	focal adhesion kinase 1|FAK-related non-kinase polypeptide|PTK2 protein tyrosine kinase 2|focal adhesion kinase-related nonkinase|protein phosphatase 1 regulatory subunit 71	8q24.3	8	NC_000008.11	140657900	141002079	minus	47	600758	
9606	Homo sapiens	1027	0	live	CDKN1B	CDKN4, KIP1, MEN1B, MEN4, P27KIP1	cyclin dependent kinase inhibitor 1B	cyclin-dependent kinase inhibitor 1B|cyclin-dependent kinase inhibitor 1B (p27, Kip1)	12p13.1	12	NC_000012.12	12717368	12722369	plus	3	600778	
9606	Homo sapiens	2247	0	live	FGF2	BFGF, FGF-2, FGFB, HBGF-2	fibroblast growth factor 2	fibroblast growth factor 2|basic fibroblast growth factor bFGF|fibroblast growth factor 2 (basic)|heparin-binding growth factor 2|prostatropin	4q28.1	4	NC_000004.12	122826708	122898236	plus	3	134920	
9606	Homo sapiens	185	0	live	AGTR1	AG2SB, AT1, AT1AR, AT1B, AT1BR, AT1R, AT2R1, HAT1R, AGTR1	angiotensin II receptor type 1	type-1 angiotensin II receptor|type-1B angiotensin II receptor	3q24	3	NC_000003.12	148697903	148743003	plus	5	106165	
9606	Homo sapiens	4088	0	live	SMAD3	HSPC193, HsT17436, JV15-2, LDS1C, LDS3, MADH3	SMAD family member 3	mothers against decapentaplegic homolog 3|MAD homolog 3|MAD, mothers against decapentaplegic homolog 3|SMA- and MAD-related protein 3|SMAD, mothers against DPP homolog 3|hMAD-3|hSMAD3|mad homolog JV15-2|mad protein homolog|mad3|mothers against DPP homolog 3	15q22.33	15	NC_000015.10	67065602	67195195	plus	13	603109	
9606	Homo sapiens	4988	0	live	OPRM1	LMOR, M-OR-1, MOP, MOR, MOR1, OPRM	opioid receptor mu 1	mu-type opioid receptor|mu opiate receptor|mu opioid receptor hMOR-1a	6q25.2	6	NC_000006.12	154010496	154246867	plus	17	600018	
9606	Homo sapiens	1490	0	live	CCN2	CTGF, HCS24, IGFBP8, NOV2	cellular communication network factor 2	CCN family member 2|IBP-8|IGF-binding protein 8|IGFBP-8|connective tissue growth factor|hypertrophic chondrocyte-specific protein 24|insulin-like growth factor-binding protein 8	6q23.2	6	NC_000006.12	131948176	131951372	minus	5	121009	
9606	Homo sapiens	3685	0	live	ITGAV	CD51, MSK8, VNRA, VTNR	integrin subunit alpha V	integrin alpha-V|antigen identified by monoclonal antibody L230|integrin alphaVbeta3|integrin, alpha V (vitronectin receptor, alpha polypeptide, antigen CD51)|vitronectin receptor subunit alpha	2q32.1	2	NC_000002.12	186590056	186680901	plus	31	193210	
9606	Homo sapiens	7057	0	live	THBS1	THBS, THBS-1, TSP, TSP-1, TSP1	thrombospondin 1	thrombospondin-1|glycoprotein G|thrombospondin-1p180|thrombospondin-p50	15q14	15	NC_000015.10	39581079	39599466	plus	22	188060	
9606	Homo sapiens	8678	0	live	BECN1	ATG6, VPS30, beclin1	beclin 1	beclin-1|ATG6 autophagy related 6 homolog|beclin 1 (coiled-coil, moesin-like BCL2-interacting protein)|beclin 1, autophagy related|coiled-coil myosin-like BCL2-interacting protein|testis secretory sperm-binding protein Li 215e	17q21.31	17	NC_000017.11	42810132	42824282	minus	13	604378	
9606	Homo sapiens	7046	0	live	TGFBR1	AAT5, ACVRLK4, ALK-5, ALK5, ESS1, LDS1, LDS1A, LDS2A, MSSE, SKR4, TBR-i, TBRI, TGFR-1, tbetaR-I	transforming growth factor beta receptor 1	TGF-beta receptor type-1|activin A receptor type II-like kinase, 53kDa|activin A receptor type II-like protein kinase of 53kD|activin receptor-like kinase 5|mutant transforming growth factor beta receptor I|serine/threonine-protein kinase receptor R4|transforming growth factor beta receptor I|transforming growth factor-beta receptor type I	9q22.33	9	NC_000009.12	99104038	99154192	plus	11	190181	
9606	Homo sapiens	4092	0	live	SMAD7	CRCS3, MADH7, MADH8	SMAD family member 7	mothers against decapentaplegic homolog 7|MAD (mothers against decapentaplegic, Drosophila) homolog 7|MAD homolog 8|Mothers against decapentaplegic, drosophila, homolog of, 7|SMAD, mothers against DPP homolog 7|hSMAD7|mothers against DPP homolog 8	18q21.1	18	NC_000018.10	48919853	48950965	minus	5	602932	
9606	Homo sapiens	10631	0	live	POSTN	OSF-2, OSF2, PDLPOSTN, PN	periostin	periostin|osteoblast specific factor 2 (fasciclin I-like)|periodontal ligament-specific periostin|periostin, osteoblast specific factor	13q13.3	13	NC_000013.11	37562585	37598839	minus	25	608777	
9606	Homo sapiens	4087	0	live	SMAD2	JV18, JV18-1, MADH2, MADR2, hMAD-2, hSMAD2	SMAD family member 2	mothers against decapentaplegic homolog 2|MAD homolog 2|SMAD, mothers against DPP homolog 2|Sma- and Mad-related protein 2|mother against DPP homolog 2	18q21.1	18	NC_000018.10	47808957	47931188	minus	18	601366	
9606	Homo sapiens	4363	0	live	ABCC1	ABC29, ABCC, DFNA77, GS-X, MRP, MRP1	ATP binding cassette subfamily C member 1	multidrug resistance-associated protein 1|ATP-binding cassette transporter variant ABCC1delta-ex13|ATP-binding cassette transporter variant ABCC1delta-ex13&14|ATP-binding cassette transporter variant ABCC1delta-ex25|ATP-binding cassette transporter variant ABCC1delta-ex25&26|ATP-binding cassette, sub-family C (CFTR/MRP), member 1|LTC4 transporter|glutathione S-conjugate export pump|glutathione-S-conjugate-translocating ATPase ABCC1|leukotriene C(4) transporter	16p13.11	16	NC_000016.10	15949616	16143062	plus	34	158343	
9606	Homo sapiens	6502	0	live	SKP2	FBL1, FBXL1, FLB1, p45	S-phase kinase associated protein 2	S-phase kinase-associated protein 2|CDK2/cyclin A-associated protein p45|F-box/LRR-repeat protein 1|S-phase kinase-associated protein 2, E3 ubiquitin protein ligase|p45skp2	5p13.2	5	NC_000005.10	36152067	36184319	plus	11	601436	
