Gene Symbol,Description,Category,Gifts,GC Id,Relevance score, GeneCards Link
"MYH7","Myosin Heavy Chain 7","Protein Coding","45","GC14M023412","106.88565826416","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYH7"
"MYBPC3","Myosin Binding Protein C3","Protein Coding","44","GC11M076980","100.314758300781","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYBPC3"
"FLNC","Filamin C","Protein Coding","43","GC07P128830","70.7743072509766","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FLNC"
"TNNT2","Troponin T2, Cardiac Type","Protein Coding","47","GC01M201359","70.2988815307617","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNNT2"
"MYH6","Myosin Heavy Chain 6","Protein Coding","44","GC14M023380","69.8697967529297","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYH6"
"TNNI3","Troponin I3, Cardiac Type","Protein Coding","47","GC19M055151","62.1663932800293","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNNI3"
"TPM1","Tropomyosin 1","Protein Coding","48","GC15P086973","60.7638053894043","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TPM1"
"ACTC1","Actin Alpha Cardiac Muscle 1","Protein Coding","41","GC15M034790","57.3150100708008","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACTC1"
"MYL2","Myosin Light Chain 2","Protein Coding","47","GC12M110910","52.9826469421387","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYL2"
"TTN","Titin","Protein Coding","45","GC02M178525","51.654842376709","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TTN"
"PRKAG2","Protein Kinase AMP-Activated Non-Catalytic Subunit Gamma 2","Protein Coding","48","GC07M151556","50.6867713928223","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKAG2"
"MYL3","Myosin Light Chain 3","Protein Coding","43","GC03M046836","49.7017402648926","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYL3"
"GJD2-DT","GJD2 Divergent Transcript","RNA Gene","11","GC15P034769","47.7160873413086","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GJD2-DT"
"FLNC-AS1","FLNC Antisense RNA 1","RNA Gene","10","GC07M128851","45.3876419067383","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FLNC-AS1"
"ACTN2","Actinin Alpha 2","Protein Coding","45","GC01P236686","44.9360847473145","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACTN2"
"MHRT","Myosin Heavy Chain Associated RNA Transcript","RNA Gene","11","GC14P028522","43.7263336181641","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MHRT"
"LMNA","Lamin A/C","Protein Coding","46","GC01P156082","39.9647827148438","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LMNA"
"MYLK2","Myosin Light Chain Kinase 2","Protein Coding","47","GC20P031819","38.9732704162598","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYLK2"
"CSRP3","Cysteine And Glycine Rich Protein 3","Protein Coding","41","GC11M019160","38.614631652832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CSRP3"
"GLA","Galactosidase Alpha","Protein Coding","46","GC0XM101393","36.7422676086426","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GLA"
"RAF1","Raf-1 Proto-Oncogene, Serine/Threonine Kinase","Protein Coding","52","GC03M012583","36.5066986083984","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAF1"
"LAMP2","Lysosomal Associated Membrane Protein 2","Protein Coding","42","GC0XM120426","35.3666152954102","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LAMP2"
"NEXN","Nexilin F-Actin Binding Protein","Protein Coding","38","GC01P077898","34.3766021728516","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NEXN"
"TTN-AS1","TTN Antisense RNA 1","RNA Gene","16","GC02P178521","33.5132293701172","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TTN-AS1"
"SLCO2A1","Solute Carrier Organic Anion Transporter Family Member 2A1","Protein Coding","41","GC03M133932","32.3748207092285","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLCO2A1"
"RPL36A-HNRNPH2","RPL36A-HNRNPH2 Readthrough","Protein Coding","17","GC0XP101390","31.2183609008789","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL36A-HNRNPH2"
"LOC114827850","VISTA Enhancer Hs2149","Biological Region","2","GC12P110918","30.1818504333496","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC114827850"
"COL7A1","Collagen Type VII Alpha 1 Chain","Protein Coding","43","GC03M048564","29.9434394836426","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COL7A1"
"MYOM1","Myomesin 1","Protein Coding","38","GC18M003066","29.8557205200195","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYOM1"
"BRAF","B-Raf Proto-Oncogene, Serine/Threonine Kinase","Protein Coding","51","GC07M140724","28.5790615081787","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BRAF"
"PLN","Phospholamban","Protein Coding","44","GC06P118548","27.5844211578369","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLN"
"PTPN11","Protein Tyrosine Phosphatase Non-Receptor Type 11","Protein Coding","51","GC12P112418","26.8764839172363","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTPN11"
"TGFB1","Transforming Growth Factor Beta 1","Protein Coding","49","GC19M041301","26.2615127563477","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TGFB1"
"VCL","Vinculin","Protein Coding","45","GC10P073995","25.5922698974609","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VCL"
"MT-ATP6","Mitochondrially Encoded ATP Synthase Membrane Subunit 6","Protein Coding","33","GCMTP008531","23.9279842376709","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MT-ATP6"
